Label,Length
C12-F02-D20-V25 - 500x.tif,2.318
C12-F02-D20-V25 - 500x.tif,3.186
C12-F02-D20-V25 - 500x.tif,3.091
C12-F02-D20-V25 - 500x.tif,2.732
C12-F02-D20-V25 - 500x.tif,2.318
C12-F02-D20-V25 - 500x.tif,3.324
C12-F02-D20-V25 - 500x.tif,3.666
C12-F02-D20-V25 - 500x.tif,2.444
C12-F02-D20-V25 - 500x.tif,3.324
C12-F02-D20-V25 - 500x.tif,3.091
C12-F02-D20-V25 - 500x.tif,2.732
C12-F02-D20-V25 - 500x.tif,3.456
C12-F02-D20-V25 - 500x.tif,2.943
C12-F02-D20-V25 - 500x.tif,2.732
C12-F02-D20-V25 - 500x.tif,2.732
C12-F02-D20-V25 - 500x.tif,2.943
C12-F02-D20-V25 - 500x.tif,3.091
C12-F02-D20-V25 - 500x.tif,3.186
C12-F02-D20-V25 - 500x.tif,2.943
C12-F02-D20-V25 - 500x.tif,2.732
C12-F02-D20-V25 - 500x.tif,3.186
C12-F02-D20-V25 - 500x.tif,3.186
C12-F02-D20-V25 - 500x.tif,2.732
C12-F02-D20-V25 - 500x.tif,3.186
C12-F02-D20-V25 - 500x.tif,1.970
C12-F02-D20-V25 - 500x.tif,3.499
C12-F02-D20-V25 - 500x.tif,2.705
C12-F02-D20-V25 - 500x.tif,3.835
C12-F02-D20-V25 - 500x.tif,2.904
C12-F02-D20-V25 - 500x.tif,2.691
C12-F02-D20-V25 - 500x.tif,2.786
C12-F02-D20-V25 - 500x.tif,2.253
C12-F02-D20-V25 - 500x.tif,2.203
C12-F02-D20-V25 - 500x.tif,3.091
C12-F02-D20-V25 - 500x.tif,3.091
C12-F02-D20-V25 - 500x.tif,2.853
C12-F02-D20-V25 - 500x.tif,1.970
C12-F02-D20-V25 - 500x.tif,2.134
C12-F02-D20-V25 - 500x.tif,2.732
C12-F02-D20-V25 - 500x.tif,3.806
C12-F02-D20-V25 - 500x.tif,3.115
C12-F02-D20-V25 - 500x.tif,2.444
C12-F02-D20-V25 - 500x.tif,3.499
C12-F02-D20-V25 - 500x.tif,3.594
C12-F02-D20-V25 - 500x.tif,3.186
