Label,Length
C12-F02-D15-V25 - 500x.tif,2.256
C12-F02-D15-V25 - 500x.tif,1.730
C12-F02-D15-V25 - 500x.tif,2.595
C12-F02-D15-V25 - 500x.tif,1.972
C12-F02-D15-V25 - 500x.tif,2.205
C12-F02-D15-V25 - 500x.tif,2.446
C12-F02-D15-V25 - 500x.tif,2.321
C12-F02-D15-V25 - 500x.tif,1.972
C12-F02-D15-V25 - 500x.tif,1.595
C12-F02-D15-V25 - 500x.tif,3.190
C12-F02-D15-V25 - 500x.tif,1.915
C12-F02-D15-V25 - 500x.tif,1.972
C12-F02-D15-V25 - 500x.tif,1.991
C12-F02-D15-V25 - 500x.tif,1.972
C12-F02-D15-V25 - 500x.tif,2.205
C12-F02-D15-V25 - 500x.tif,2.446
C12-F02-D15-V25 - 500x.tif,2.789
C12-F02-D15-V25 - 500x.tif,1.934
C12-F02-D15-V25 - 500x.tif,2.337
C12-F02-D15-V25 - 500x.tif,2.708
C12-F02-D15-V25 - 500x.tif,3.294
C12-F02-D15-V25 - 500x.tif,2.477
C12-F02-D15-V25 - 500x.tif,2.446
C12-F02-D15-V25 - 500x.tif,2.446
C12-F02-D15-V25 - 500x.tif,2.446
C12-F02-D15-V25 - 500x.tif,2.477
C12-F02-D15-V25 - 500x.tif,2.205
C12-F02-D15-V25 - 500x.tif,2.446
C12-F02-D15-V25 - 500x.tif,1.991
C12-F02-D15-V25 - 500x.tif,2.337
C12-F02-D15-V25 - 500x.tif,2.522
C12-F02-D15-V25 - 500x.tif,2.446
C12-F02-D15-V25 - 500x.tif,1.730
C12-F02-D15-V25 - 500x.tif,1.547
C12-F02-D15-V25 - 500x.tif,2.446
C12-F02-D15-V25 - 500x.tif,2.256
C12-F02-D15-V25 - 500x.tif,2.477
C12-F02-D15-V25 - 500x.tif,2.580
C12-F02-D15-V25 - 500x.tif,1.934
C12-F02-D15-V25 - 500x.tif,1.751
C12-F02-D15-V25 - 500x.tif,2.446
C12-F02-D15-V25 - 500x.tif,2.188
C12-F02-D15-V25 - 500x.tif,1.751
C12-F02-D15-V25 - 500x.tif,1.641
C12-F02-D15-V25 - 500x.tif,1.972
