Label,Length
C12-F05-D15-V15 - 500x.tif,3.279
C12-F05-D15-V15 - 500x.tif,2.732
C12-F05-D15-V15 - 500x.tif,2.943
C12-F05-D15-V15 - 500x.tif,4.669
C12-F05-D15-V15 - 500x.tif,3.825
C12-F05-D15-V15 - 500x.tif,2.943
C12-F05-D15-V15 - 500x.tif,5.911
C12-F05-D15-V15 - 500x.tif,4.669
C12-F05-D15-V15 - 500x.tif,4.888
C12-F05-D15-V15 - 500x.tif,6.109
C12-F05-D15-V15 - 500x.tif,3.825
C12-F05-D15-V15 - 500x.tif,2.943
C12-F05-D15-V15 - 500x.tif,2.444
C12-F05-D15-V15 - 500x.tif,5.382
C12-F05-D15-V15 - 500x.tif,3.456
C12-F05-D15-V15 - 500x.tif,4.406
C12-F05-D15-V15 - 500x.tif,4.701
C12-F05-D15-V15 - 500x.tif,3.186
C12-F05-D15-V15 - 500x.tif,4.372
C12-F05-D15-V15 - 500x.tif,4.372
C12-F05-D15-V15 - 500x.tif,3.091
C12-F05-D15-V15 - 500x.tif,5.626
C12-F05-D15-V15 - 500x.tif,3.666
C12-F05-D15-V15 - 500x.tif,4.948
C12-F05-D15-V15 - 500x.tif,6.912
C12-F05-D15-V15 - 500x.tif,3.825
C12-F05-D15-V15 - 500x.tif,3.186
C12-F05-D15-V15 - 500x.tif,5.464
C12-F05-D15-V15 - 500x.tif,3.940
C12-F05-D15-V15 - 500x.tif,3.940
C12-F05-D15-V15 - 500x.tif,5.464
C12-F05-D15-V15 - 500x.tif,6.603
C12-F05-D15-V15 - 500x.tif,7.125
C12-F05-D15-V15 - 500x.tif,2.732
C12-F05-D15-V15 - 500x.tif,3.940
C12-F05-D15-V15 - 500x.tif,4.372
C12-F05-D15-V15 - 500x.tif,4.637
C12-F05-D15-V15 - 500x.tif,3.279
C12-F05-D15-V15 - 500x.tif,6.373
C12-F05-D15-V15 - 500x.tif,5.464
C12-F05-D15-V15 - 500x.tif,5.155
C12-F05-D15-V15 - 500x.tif,2.943
C12-F05-D15-V15 - 500x.tif,4.669
C12-F05-D15-V15 - 500x.tif,3.499
C12-F05-D15-V15 - 500x.tif,3.499
