Label,Length
C12-F02-D15-V15 - 500x.tif,2.585
C12-F02-D15-V15 - 500x.tif,3.806
C12-F02-D15-V15 - 500x.tif,2.450
C12-F02-D15-V15 - 500x.tif,4.785
C12-F02-D15-V15 - 500x.tif,2.740
C12-F02-D15-V15 - 500x.tif,3.344
C12-F02-D15-V15 - 500x.tif,4.962
C12-F02-D15-V15 - 500x.tif,3.816
C12-F02-D15-V15 - 500x.tif,2.341
C12-F02-D15-V15 - 500x.tif,3.433
C12-F02-D15-V15 - 500x.tif,6.805
C12-F02-D15-V15 - 500x.tif,2.951
C12-F02-D15-V15 - 500x.tif,3.562
C12-F02-D15-V15 - 500x.tif,3.195
C12-F02-D15-V15 - 500x.tif,3.344
C12-F02-D15-V15 - 500x.tif,2.794
C12-F02-D15-V15 - 500x.tif,3.124
C12-F02-D15-V15 - 500x.tif,2.325
C12-F02-D15-V15 - 500x.tif,2.821
C12-F02-D15-V15 - 500x.tif,2.087
C12-F02-D15-V15 - 500x.tif,2.860
C12-F02-D15-V15 - 500x.tif,2.585
C12-F02-D15-V15 - 500x.tif,4.682
C12-F02-D15-V15 - 500x.tif,4.262
C12-F02-D15-V15 - 500x.tif,2.526
C12-F02-D15-V15 - 500x.tif,1.937
C12-F02-D15-V15 - 500x.tif,5.147
C12-F02-D15-V15 - 500x.tif,4.939
C12-F02-D15-V15 - 500x.tif,2.357
C12-F02-D15-V15 - 500x.tif,2.821
C12-F02-D15-V15 - 500x.tif,3.124
C12-F02-D15-V15 - 500x.tif,2.087
C12-F02-D15-V15 - 500x.tif,3.344
C12-F02-D15-V15 - 500x.tif,3.686
C12-F02-D15-V15 - 500x.tif,3.875
C12-F02-D15-V15 - 500x.tif,2.698
C12-F02-D15-V15 - 500x.tif,3.026
C12-F02-D15-V15 - 500x.tif,3.806
C12-F02-D15-V15 - 500x.tif,2.481
C12-F02-D15-V15 - 500x.tif,3.299
C12-F02-D15-V15 - 500x.tif,3.124
C12-F02-D15-V15 - 500x.tif,4.939
C12-F02-D15-V15 - 500x.tif,2.357
C12-F02-D15-V15 - 500x.tif,2.599
C12-F02-D15-V15 - 500x.tif,4.173
