Label,Length
C12-F02-D20-V15 - 500x.tif,5.410
C12-F02-D20-V15 - 500x.tif,2.318
C12-F02-D20-V15 - 500x.tif,2.732
C12-F02-D20-V15 - 500x.tif,4.506
C12-F02-D20-V15 - 500x.tif,7.881
C12-F02-D20-V15 - 500x.tif,2.786
C12-F02-D20-V15 - 500x.tif,3.091
C12-F02-D20-V15 - 500x.tif,3.186
C12-F02-D20-V15 - 500x.tif,3.825
C12-F02-D20-V15 - 500x.tif,3.864
C12-F02-D20-V15 - 500x.tif,4.162
C12-F02-D20-V15 - 500x.tif,5.464
C12-F02-D20-V15 - 500x.tif,4.506
C12-F02-D20-V15 - 500x.tif,3.279
C12-F02-D20-V15 - 500x.tif,2.186
C12-F02-D20-V15 - 500x.tif,3.499
C12-F02-D20-V15 - 500x.tif,2.943
C12-F02-D20-V15 - 500x.tif,3.279
C12-F02-D20-V15 - 500x.tif,3.186
C12-F02-D20-V15 - 500x.tif,3.324
C12-F02-D20-V15 - 500x.tif,3.978
C12-F02-D20-V15 - 500x.tif,5.705
C12-F02-D20-V15 - 500x.tif,4.268
C12-F02-D20-V15 - 500x.tif,4.162
C12-F02-D20-V15 - 500x.tif,4.948
C12-F02-D20-V15 - 500x.tif,3.499
C12-F02-D20-V15 - 500x.tif,3.666
C12-F02-D20-V15 - 500x.tif,4.162
C12-F02-D20-V15 - 500x.tif,3.825
C12-F02-D20-V15 - 500x.tif,3.186
C12-F02-D20-V15 - 500x.tif,3.864
C12-F02-D20-V15 - 500x.tif,4.669
C12-F02-D20-V15 - 500x.tif,2.444
C12-F02-D20-V15 - 500x.tif,3.825
C12-F02-D20-V15 - 500x.tif,3.978
C12-F02-D20-V15 - 500x.tif,4.406
C12-F02-D20-V15 - 500x.tif,5.499
C12-F02-D20-V15 - 500x.tif,4.320
C12-F02-D20-V15 - 500x.tif,2.444
C12-F02-D20-V15 - 500x.tif,4.842
C12-F02-D20-V15 - 500x.tif,2.334
C12-F02-D20-V15 - 500x.tif,2.691
C12-F02-D20-V15 - 500x.tif,5.305
C12-F02-D20-V15 - 500x.tif,2.955
C12-F02-D20-V15 - 500x.tif,3.091
