Label,Length
C12-F02-D15-V20 - 500x.tif,3.191
C12-F02-D15-V20 - 500x.tif,2.447
C12-F02-D15-V20 - 500x.tif,3.946
C12-F02-D15-V20 - 500x.tif,3.461
C12-F02-D15-V20 - 500x.tif,2.189
C12-F02-D15-V20 - 500x.tif,2.750
C12-F02-D15-V20 - 500x.tif,2.908
C12-F02-D15-V20 - 500x.tif,3.095
C12-F02-D15-V20 - 500x.tif,3.340
C12-F02-D15-V20 - 500x.tif,3.811
C12-F02-D15-V20 - 500x.tif,3.567
C12-F02-D15-V20 - 500x.tif,3.283
C12-F02-D15-V20 - 500x.tif,3.482
C12-F02-D15-V20 - 500x.tif,2.790
C12-F02-D15-V20 - 500x.tif,3.119
C12-F02-D15-V20 - 500x.tif,3.010
C12-F02-D15-V20 - 500x.tif,3.801
C12-F02-D15-V20 - 500x.tif,3.191
C12-F02-D15-V20 - 500x.tif,2.790
C12-F02-D15-V20 - 500x.tif,2.708
C12-F02-D15-V20 - 500x.tif,3.504
C12-F02-D15-V20 - 500x.tif,3.811
C12-F02-D15-V20 - 500x.tif,3.721
C12-F02-D15-V20 - 500x.tif,3.461
C12-F02-D15-V20 - 500x.tif,3.306
C12-F02-D15-V20 - 500x.tif,3.917
C12-F02-D15-V20 - 500x.tif,1.642
C12-F02-D15-V20 - 500x.tif,3.869
C12-F02-D15-V20 - 500x.tif,2.478
C12-F02-D15-V20 - 500x.tif,3.504
C12-F02-D15-V20 - 500x.tif,3.095
C12-F02-D15-V20 - 500x.tif,2.084
C12-F02-D15-V20 - 500x.tif,3.283
C12-F02-D15-V20 - 500x.tif,2.908
C12-F02-D15-V20 - 500x.tif,2.736
C12-F02-D15-V20 - 500x.tif,3.504
C12-F02-D15-V20 - 500x.tif,3.119
C12-F02-D15-V20 - 500x.tif,2.736
C12-F02-D15-V20 - 500x.tif,3.022
C12-F02-D15-V20 - 500x.tif,2.790
C12-F02-D15-V20 - 500x.tif,2.790
C12-F02-D15-V20 - 500x.tif,3.191
C12-F02-D15-V20 - 500x.tif,3.946
C12-F02-D15-V20 - 500x.tif,4.412
C12-F02-D15-V20 - 500x.tif,2.736
