Label,Length
C12-F05-D15-V20 -500x.tif,3.671
C12-F05-D15-V20 -500x.tif,1.973
C12-F05-D15-V20 -500x.tif,3.461
C12-F05-D15-V20 -500x.tif,2.447
C12-F05-D15-V20 -500x.tif,3.191
C12-F05-D15-V20 -500x.tif,4.675
C12-F05-D15-V20 -500x.tif,3.504
C12-F05-D15-V20 -500x.tif,3.504
C12-F05-D15-V20 -500x.tif,3.191
C12-F05-D15-V20 -500x.tif,5.045
C12-F05-D15-V20 -500x.tif,4.412
C12-F05-D15-V20 -500x.tif,2.736
C12-F05-D15-V20 -500x.tif,2.447
C12-F05-D15-V20 -500x.tif,2.736
C12-F05-D15-V20 -500x.tif,3.328
C12-F05-D15-V20 -500x.tif,5.045
C12-F05-D15-V20 -500x.tif,2.322
C12-F05-D15-V20 -500x.tif,2.736
C12-F05-D15-V20 -500x.tif,3.095
C12-F05-D15-V20 -500x.tif,1.730
C12-F05-D15-V20 -500x.tif,2.447
C12-F05-D15-V20 -500x.tif,2.256
C12-F05-D15-V20 -500x.tif,2.736
C12-F05-D15-V20 -500x.tif,3.504
C12-F05-D15-V20 -500x.tif,1.973
C12-F05-D15-V20 -500x.tif,2.736
C12-F05-D15-V20 -500x.tif,3.095
C12-F05-D15-V20 -500x.tif,3.946
C12-F05-D15-V20 -500x.tif,1.973
C12-F05-D15-V20 -500x.tif,3.328
C12-F05-D15-V20 -500x.tif,1.642
C12-F05-D15-V20 -500x.tif,3.095
C12-F05-D15-V20 -500x.tif,2.736
C12-F05-D15-V20 -500x.tif,4.707
C12-F05-D15-V20 -500x.tif,4.643
C12-F05-D15-V20 -500x.tif,2.736
C12-F05-D15-V20 -500x.tif,2.947
C12-F05-D15-V20 -500x.tif,3.191
C12-F05-D15-V20 -500x.tif,2.256
C12-F05-D15-V20 -500x.tif,3.984
C12-F05-D15-V20 -500x.tif,3.504
C12-F05-D15-V20 -500x.tif,3.191
C12-F05-D15-V20 -500x.tif,2.447
C12-F05-D15-V20 -500x.tif,2.947
C12-F05-D15-V20 -500x.tif,2.256
